codeCPV,count
72600000-6,127
45252100-9,126
79713000,126
77340000-5,125
45240000-1,125
34110000-1,125
71356200,125
45320000,124
75130000-6,124
79952000,124
92311000-4,123
60112000,123
79300000-7,122
45221113-7,121
15894210-6,120
15000000,120
45421140-7,120
30230000,119
45211200,119
09310000,119
45212110-0,118
45112711-2,118
45247270-3,118
79341000-6,117
92312000-1,116
64121100-1,115
15110000-2,115
40100000-3,115
31000000-6,114
45262640-9,113
33690000-3,113
66000000-0,113
45232460-4,113
45262620-3,113
30200000,112
90513000,111
45233120,111
90911300-9,111
71332000,111
45421150,110
03221200-8,110
45212422-0,110
45212220-4,110
39290000-1,109
71315400,109
92300000-4,109
45232423-3,109
45441000-0,109
45212290-5,109
45332000-3,109
45232421-9,109
15811100-7,109
39200000-4,108
65111000-4,108
90700000-4,108
90900000,108
45331110-0,107
45261900-3,107
98312000-3,106
50710000,106
50710000-5,106
79620000,106
45100000,105
45233294-6,104
45232430-5,103
45233220,103
79952100-3,103
66514110,103
98390000-3,102
98310000-9,102
39812100-8,102
15890000,102
45222000-9,101
33652000,101
50720000,101
90522400-6,101
34134200-7,100
34330000-9,100
43325000-7,100
44115210-4,99
45262500-6,99
45262650,99
79310000-0,99
77341000-2,99
45212212,99
71630000,98
50883000-8,98
92621000-0,98
74220000-7,98
30192000,97
45430000,97
79611000-0,97
66512000,96
71600000-4,96
45232152-2,96
33696500,96
85312510-7,96
45332200-5,96
72224000-1,95
45331210-1,95
45421141,95
15890000-3,95
72400000-4,94
75310000,94
50800000,94
45215100,94
34351100-3,94
71230000-9,93
45232141,93
70000000-1,93
45212222,93
45262510-9,93
63510000-7,92
45340000,92
45431100-8,92
45232100-3,91
45211360-0,91
45233229-0,91
71621000,90
31680000-6,90
45342000-6,90
71400000,90
45231400,90
75231240,90
44316400-2,90
31681410-0,90
45317000-2,90
90000000-7,89
60170000-0,89
79212000,89
50421000,89
71330000,89
90923000-3,89
45212350-4,88
39294100,88
45432100,88
75200000,88
15894700-8,87
72600000,87
45500000-2,86
74230000-0,86
16160000-4,86
72220000-3,86
31500000-1,86
44115200-1,85
38000000,85
55242000-8,85
44613700-7,85
45111290-7,85
39162110,85
34144511-3,85
45234116,84
45232154-6,84
90921000,84
22111000-1,84
09135100-5,84
79980000-7,83
32424000-1,83
34144510-6,83
42961100-1,83
65310000-9,83
92521100,83
45212221,83
71315200-1,83
90210000-2,83
16700000-2,83
15131120-2,83
45215200-9,82
71520000-9,82
24962000-5,82
92320000-0,81
45112000,81
45261212-3,81
45421130-4,81
39350000-0,81
43324100-1,81
50721000,81
92331210,81
85312110,81
74131100-7,80
15550000-8,80
50232000-0,80
39221000,80
45400000-1,80
45331110,80
50870000-4,79
45232411,79
30120000-6,79
90919200,79
50531100-7,79
45111250-5,79
71317000,79
45233293-9,79
79823000,79
45223000-6,79
39220000-0,78
45442110,78
45422000-1,78
18000000-9,78
79110000,78
39314000-6,78
74224000-5,78
44510000-8,78
35113400-3,78
66133000,78
50324100,77
45243100-3,77
45111000,77
92521210-4,77
34913000,77
72260000-5,77
45212300,77
19640000-4,77
03451000-6,77
71350000-6,77
45432130,76
44811000-8,76
31310000-2,76
34928480,76
55243000,76
66516000,75
44110000-4,75
45324000-4,75
32412100-5,75
85310000-5,75
45233142,74
39100000,74
90612000-0,74
09123000,73
79314000,73
79342200-5,73
28815800-6,73
77120000-7,73
45343000-3,73
15112100-7,73
15100000-9,72
90919200-4,72
32000000-3,72
90121000-1,72
45252130-8,72
09134000,72
34114000-9,71
34928400,71
50400000,71
44810000,71
79100000,71
45317000,71
09130000-9,70
45421143-8,70
71313400-9,70
71222000,70
50711000-2,70
09132100-4,70
45261910-6,70
92610000-0,70
44100000-1,70
03121000-5,70
15113000-3,70
45212331-5,70
09132000-3,70
45232454-9,69
45261215,69
45212224-2,69
50610000-4,69
45233162,69
31224500-7,69
35120000-1,69
45316000-5,69
45244000-9,69
66516400-4,69
70121200-7,69
71317200-5,69
48219300-9,68
34144900,68
90620000,68
72268000-1,68
45233223-8,68
51110000-6,68
90600000-3,67
50610000,67
45223210-1,67
45231600-1,67
30163000-9,67
34927100-2,67
50312000-5,67
45233000,67
72261000-2,67
45315000-8,67
39224300-1,67
03100000-2,66
45331220-4,66
90511000,66
90480000,66
39162100-6,66
45232460,66
77314000,66
45233161-5,66
44211100,66
45260000,66
85000000-9,65
79340000,65
45233221,65
45331200-8,65
44111400,65
45331100-7,65
45231110,65
71314300-5,65
45261211-6,65
44510000,65
09331000-8,64
71410000,64
39000000-2,64
79950000-8,64
71317200,64
22110000,64
39800000-0,64
90713000-8,64
45261900,64
39715000-7,64
74233500-6,63
45232130,63
45262330-3,63
34140000-0,63
45212110,63
39310000-8,63
34942000-2,63
70332100-8,63
33184000,63
79419000,63
45259000,62
55000000-0,62
45212313-3,62
18530000-3,62
03452000-3,62
71620000,62
45236119-7,62
44423400-5,62
44113610-4,62
42416100-6,61
45314320-0,61
45233252,61
45211341,61
30000000-9,61
45233200,61
90919300-5,61
71320000-7,61
71220000-6,60
71322000-1,60
45212330-8,60
45223000,60
45232140,60
45252000-8,60
60172000,60
71351914-3,60
45261200-6,60
71600000,59
30234400-2,59
15112000-6,59
34144700,59
92521000-9,59
85312500-4,59
50730000-1,59
45214000-0,59
48000000,59
50313200-4,59
45421151-7,59
50112000-3,59
71631000,59
45232420,59
37410000-5,59
79340000-9,59
45233128-2,58
45331210,58
03120000-8,58
71631000-0,58
31527260-6,58
33651600,58
74000000-9,58
45223110-0,58
45246000-3,58
90513200-8,58
77312100-1,57
66515200,57
22100000-1,57
71521000-6,57
45261410-1,57
45216110-8,57
34928200-0,57
79711000-1,57
18300000-2,57
38421100-3,57
90514000-3,57
45262321-7,56
90511100-3,56
09111400-4,56
45233290-8,56
45112711,56
45213141-3,56
24000000-4,56
45112720,56
39130000,56
55510000-8,56
71631450-9,56
90700000,56
45440000-3,56
