codeCPV,count
31155000-7,16
42511110-5,16
39713400-7,16
73420000-2,16
39224000,16
30232100-5,16
45243100,16
45232152,16
45213221-8,16
71351800-1,16
33182100,16
15111200-1,16
72320000-4,16
45223310-2,16
90713000,16
45215300-0,16
34928310-4,16
98342000-2,16
66337000-1,16
39131100-0,16
44112400-2,16
90670000,16
33110000-4,16
63712000-3,16
74131110-0,16
90513900,16
79212300-6,16
79420000-4,16
71320000,16
71500000,16
42514300-5,16
34942000,16
33760000,16
72222300,16
90713100-9,16
03311000,16
85312500,16
34990000-3,16
15981000-8,16
64110000-0,16
03441000-3,16
80550000-4,16
39113100-8,16
79720000,16
45243510-0,16
34930000-5,16
51700000-9,16
44113320,16
35111000-5,16
55510000,16
90720000-0,16
92100000,16
42521000-4,16
09300000,16
71313450-4,16
92312240-5,16
45247111-1,16
45234125,16
45212211-8,16
45432210-9,16
72514100-2,16
98133100-5,16
85311100-3,16
35300000-7,16
15511000-3,16
32500000-8,16
34928510,16
19231000-4,15
79820000,15
77100000,15
34134200,15
92221000-6,15
79811000-2,15
24111900-4,15
09100000,15
44163200-2,15
39298900,15
63515000,15
65300000,15
77320000,15
77200000,15
34121500-6,15
70123000,15
79950000,15
42416000-5,15
45222300-2,15
39151300-8,15
79530000,15
45332400,15
92110000,15
51310000-8,15
98341110-9,15
45213100,15
32353000-2,15
72220000,15
64100000,15
33168100-6,15
50332000-1,15
03121210-0,15
03451100-7,15
45120000,15
34928440-4,15
45212313,15
23121200-3,15
72514300-4,15
45212210-1,15
50532400-7,15
32523000-5,15
39293300-5,15
39500000-7,15
32322000,15
39831200-8,15
85210000,15
71800000,15
14212430-3,15
39155000,15
51110000,15
50880000-7,15
79417000-0,15
45244100-0,15
45233330-1,15
79421100-2,15
72261000,15
45262510,15
45247212-9,15
80533100-0,15
66110000-4,15
44811000,15
28120000-9,15
50312310,15
45122000-8,15
30192700,15
34115000-6,15
45213311-6,15
37535200,15
60400000-2,15
77342000-9,15
35100000-5,15
90511400,15
45450000-6,15
79550000-4,15
45236112-8,15
63710000-9,15
66110000,15
45241100-9,14
92310000,14
90721800-5,14
70330000-3,14
24311900-6,14
44611600-2,14
45234115-5,14
44921200-4,14
71351100-4,14
15880000-0,14
15113000,14
31121000,14
45111212-7,14
37310000-4,14
45251250-8,14
30195300,14
43328100-9,14
34140000,14
45232120,14
92522200-8,14
39111200-5,14
34144200,14
44100000,14
72246000,14
45112420-5,14
45233100,14
45112440-1,14
65110000-7,14
77120000,14
39715200,14
30125100-2,14
55523000,14
72700000,14
50310000-1,14
38341000,14
44110000,14
45223810,14
39300000,14
50400000-9,14
64216100-4,14
24931250,14
30121300-6,14
34144430,14
39298910-9,14
75250000-3,14
38421100,14
37520000,14
33141000,14
85100000-0,14
45262000-1,14
72315000-6,14
45246400,14
45233226-9,14
72200000,14
48219000-6,14
24613200-6,14
15530000-2,14
37311300-4,14
71311230-2,14
34144511,14
45331230-7,14
45262400,14
98394000-1,14
20310000-2,14
90121300-4,14
30197000-6,14
92312211,14
45233340-4,14
79412000,14
45213316,14
03451300,14
75250000,14
45262000,14
32429000-6,14
32420000-3,14
34350000,14
18512200-3,13
72420000-0,13
15872200-3,13
42964000,13
39122200-5,13
48921000-0,13
44111510-9,13
92140000-4,13
31640000-4,13
50114100,13
71315300-2,13
80531200,13
45234122-7,13
45232431-2,13
44114250-9,13
45262420-1,13
31518100,13
33183100-7,13
45248100-8,13
60110000-2,13
79200000,13
45500000,13
77231600-4,13
71315410,13
35113100-0,13
40412000-3,13
45233229,13
45212170,13
72610000,13
45232154,13
79112100-3,13
38500000-0,13
39715000,13
98390000,13
66114000-2,13
15930000-6,13
72243000,13
37820000-2,13
72421000-7,13
71540000-5,13
30199500-5,13
34900000-6,13
51314000-6,13
66336200-6,13
34114100-0,13
30120000,13
37535291-3,13
90492000-2,13
78100000-8,13
48180000,13
34926000-4,13
90913000,13
18412000-0,13
45252100,13
30234300,13
90121320-0,13
18930000,13
45216112-2,13
15842300,13
90522400,13
15211100-1,13
74250000-6,13
34500000-2,13
45261211,13
34928510-6,13
66512200-4,13
30216110-0,13
80411000-8,13
71510000,13
85311200-4,13
66518000-4,13
38652120-7,13
37311100-2,13
33711400,13
32562000-0,13
33192300-5,13
77230000-1,13
43210000-8,13
24957000-7,13
45431200-9,13
72210000,13
39141000,12
50241000,12
72130000-5,12
63120000-6,12
35111100-6,12
33620000-2,12
30190000,12
45212331,12
72416000-9,12
55100000,12
24954000-6,12
09331000,12
92511000-6,12
37412240-3,12
80550000,12
45216125,12
90513800,12
45261222,12
71313400,12
50830000-2,12
45212360-7,12
15811000-6,12
33112000-8,12
39220000,12
90733000-4,12
50760000-0,12
75100000,12
45421143,12
31310000,12
44112210-3,12
31311000-9,12
50117000-8,12
98371000-4,12
45237000,12
33141300-3,12
42415320-7,12
45252140-1,12
79900000-3,12
50112110,12
79410000,12
45214000,12
34138000-3,12
31712331-9,12
43312100-4,12
35821000-5,12
42962000-7,12
37451000-4,12
66512100-3,12
34924000-0,12
45262710-1,12
42961100,12
45233260,12
39831200,12
92522000-6,12
50111000,12
48200000-0,12
90711300-7,12
35111200-7,12
15820000-2,12
45232430,12
24111000-5,12
45331231-4,12
63511000-4,12
45232423,12
50313100-3,12
38652000-0,12
98380000-0,12
45259100,12
64120000,12
45234210-1,12
98370000,12
79811000,12
92332000-7,12
42415200-0,12
33696300-8,12
48218000,12
77110000-4,12
71900000,12
03451200-8,12
72310000,12
71240000-1,12
50114200-9,12
39222000,12
42000000-6,12
42415100-9,12
79630000,12
71317100,12
34115300-9,12
45111230,12
90114000-9,12
32510000-1,12
72253000,12
34111000-8,12
73220000-0,12
45232300,12
90731100-1,12
42160000-8,12
74131120-3,12
33771200,12
43251000-7,12
90530000-1,12
65400000-7,12
45421131-1,12
34324000-4,12
39153000,12
79940000,12
42512000,12
80540000,12
50514000,12
72810000-1,12
15884000,12
92111100-3,12
71321200-6,11
44162000-3,11
45317300-5,11
48730000-4,11
79970000,11
44112100,11
28213700-5,11
51314000,11
38433100-0,11
35111320-4,11
34144420-8,11
50330000-7,11
31522000,11
79132000-8,11
72212421-6,11
03419100-1,11
15331400-1,11
32421000-0,11
33111620,11
48952000-6,11
45242210-0,11
14500000-6,11
50343000,11
32260000-3,11
44163130-0,11
34928100,11
15100000,11
45111214-1,11
39141400-6,11
77112000-8,11
71000000-0,11
72262000,11
90513400-0,11
45246000,11
45112300-8,11
34920000-2,11
79625000,11
37411200-4,11
32000000,11
34115200,11
38970000,11
45316213-1,11
50413000,11
45212311,11
45252127,11
24955000-3,11
39120000,11
42962200-9,11
48160000-7,11
39290000,11
50116000,11
14212200-2,11
44221200-7,11
45247270,11
29873000-9,11
85147000,11
32571000-6,11
45255500,11
72212218-0,11
44512000-2,11
55241000,11
79421000-1,11
30160000-8,11
34224200-5,11
28812410-4,11
55320000,11
77000000,11
45222110-3,11
30234400,11
45213200-5,11
71000000-1,11
34144000,11
50410000-2,11
30213000-5,11
03450000-9,11
74221000-4,11
24954000,11
31440000-2,11
71318100-1,11
16810000,11
70122000-2,11
39312200-4,11
75242110,11
44212320,11
71313410,11
90511300,11
33696000-5,11
45331230,11
42131000-6,11
45232422-6,11
79971000,11
15119000,11
45213315-4,11
92312100-2,11
22112000,11
18820000-3,11
43328000-8,11
33750000,11
33141120-7,11
33198200,11
90410000-4,11
39515000-5,11
34144213-4,11
72422000-4,11
92622000,11
71354300-7,11
79320000-3,11
45233228,11
79341200,11
24110000-8,11
45251141,11
20320000-5,11
35121000-8,11
90733100-5,10
73430000-5,10
30237120-6,10
30214000,10
85312400-3,10
45233294,10
24300000,10
79000000,10
34996000-5,10
45231300,10
33194000-6,10
43261000,10
28812300-0,10
90711500-9,10
35111300,10
72150000-1,10
32550000-3,10
24213000-0,10
45112714,10
90513100-7,10
39311000,10
55521100,10
60640000-6,10
45234160,10
39111000-3,10
34640000,10
44112310-4,10
14210000,10
45234115,10
64213000-2,10
45510000-5,10
34144431,10
45214800-8,10
50421200-4,10
15894210,10
63500000,10
31731100-0,10
32428000-9,10
22100000,10
72253000-3,10
66513000-9,10
45452000,10
71356300-1,10
45213311,10
43323000,10
35811200,10
09211000,10
77312000,10
77231000-8,10
45232440-8,10
45212224,10
22200000,10
44500000-5,10
33191000,10
50116100-2,10
90460000,10
79511000,10
79415200,10
60113100-4,10
09132100,10
03200000-3,10
45251100-2,10
39190000,10
44800000,10
15321000-4,10
15812100-4,10
45212140-9,10
45317200-4,10
72262000-9,10
31200000-8,10
34927000-1,10
71316000,10
42995000-7,10
09111400,10
45233250-6,10
39700000-9,10
45112100,10
37412000,10
50190000-3,10
39143112-4,10
90520000,10
90911100,10
79956000,10
38432000,10
24110000,10
45233222,10
98133000,10
74231000-7,10
03110000-5,10
39515400-9,10
65111000,10
79992000-4,10
50241000-6,10
34113200-4,10
45261212,10
39142000-9,10
44531510-9,10
45442000-7,10
44221240,10
79900000,10
30131400-0,10
74131000-6,10
80310000-0,10
39330000-4,10
50222000-7,10
90500000-0,10
39811000,10
71730000-4,10
90732000-7,10
90913200-2,10
37412240,10
71315210,10
74233000-1,10
03410000,10
45233280-5,10
98395000-8,10
79961000,10
34114400,10
45262310-7,10
18530000,10
45262370-5,10
72415000,10
90714400-9,10
45243510,10
98351000,10
38424000-3,10
51300000-5,10
34115300,10
72322000-8,10
90121110-5,10
44115220-7,10
30192113-6,10
16600000,10
71243000-3,10
80562000-1,10
45213000-3,10
09200000,10
35125000,10
28825000-1,10
34430000,10
45213240,10
39831210,10
45317200,10
45243400-6,10
50312610-4,10
44613700,10
71530000,10
42410000,10
42418220-7,10
80561000-4,10
18832000-0,10
75110000-0,9
71315410-6,9
03313310-2,9
32200000-5,9
71340000-3,9
48110000-2,9
30211400-5,9
34113000-2,9
75112000-4,9
30192800,9
79822000,9
79512000,9
73100000-3,9
60181000,9
90000000,9
39156000,9
39800000,9
25253100-0,9
34130000,9
51310000,9
30122100-1,9
15842100-3,9
38433000-9,9
70333000,9
79723000-8,9
63516000-9,9
36535200-2,9
45233226,9
18000000,9
71311200,9
66516500-5,9
79132000,9
80531200-7,9
45213351,9
33141117-3,9
48822000,9
35120000,9
90511300-5,9
63712400,9
45232153-9,9
45222100,9
34144512,9
79611000,9
29835000-1,9
37481000-3,9
34996300-8,9
44212233-1,9
90312000-7,9
71351200-5,9
33130000-0,9
15115000-7,9
15893100,9
32232000-8,9
35125300,9
34352100,9
45247220-8,9
45234000,9
33700000-7,9
74843000-0,9
39162200-7,9
38410000-2,9
50333000-8,9
45246100-4,9
39154100,9
34115000,9
45112320,9
50112300-6,9
90714500-0,9
14212100-1,9
30199000,9
66518100-5,9
50116500,9
50112100-4,9
15981320-7,9
45236112,9
45262340,9
45223500-1,9
42716110-2,9
50411000-9,9
79410000-1,9
38300000-8,9
44521100-9,9
50433000,9
90211000-9,9
71351700,9
45213320-2,9
45233320-8,9
18141000-9,9
75121000-0,9
90121310-7,9
77210000-5,9
42515000-9,9
39715300,9
85142000-6,9
34142100-5,9
79971000-1,9
55512000-2,9
32570000-9,9
45252124,9
45223100-7,9
90710000,9
33192230-3,9
45247000-0,9
98311100-7,9
48443000-5,9
31527200,9
75240000,9
15112000,9
39122100-4,9
75251110-4,9
85321000-5,9
92312213,9
98341110,9
45216000,9
40410000-9,9
71314000,9
03220000,9
92521220,9
72212450,9
42933000-5,9
31000000,9
71323200-0,9
79411000,9
45442121-1,9
32420000,9
33141411-4,9
44424100-9,9
72514200-3,9
90914000-7,9
79414000,9
90914000,9
71221000-0,9
45212190-4,9
39713300-6,9
39221130-7,9
45233124-4,9
72150000,9
32353000,9
28111100-4,9
42512300-1,9
70321000-7,9
71325000-2,9
48920000,9
37420000-8,9
45231223-4,9
20300000-9,9
31625100,9
18937100-7,9
66517300-0,9
45262410,9
90920000-2,9
30232000-4,9
71351100,9
15880000,9
50312300,9
50246000-1,9
45216129-4,9
45213321-9,9
64211100-9,9
45237000-7,9
39522530,9
45261214-7,9
71222200-2,9
37300000-1,9
34400000-1,9
79212100,9
50112111-4,9
39296000,9
30144300,9
31642000-8,9
45431200,9
22213000-6,9
50222000,9
34210000,9
39713410,9
92130000-1,9
63121100-4,9
45314310-7,9
45351000-2,9
32354500-4,9
75251110,8
72511000-0,8
79624000-4,8
72212160-8,8
79971200-3,8
39811100-1,8
80590000-6,8
39713100-4,8
45233223,8
50510000-3,8
31640000,8
90450000-6,8
39181000-4,8
50413000-3,8
15812000-3,8
35112000-2,8
71355200,8
45233252-1,8
45247212,8
48151000-1,8
48440000-4,8
45211300-2,8
38540000-2,8
15833100-7,8
33164000-7,8
22440000,8
74141520-0,8
22990000-6,8
45234200-8,8
90690000,8
18420000,8
45234127,8
39511100,8
70332000-7,8
14820000-5,8
42130000,8
90481000-2,8
33692000,8
43324100,8
79622000-0,8
71631100,8
30238000-6,8
74223000-8,8
50411100-0,8
80413000-2,8
44482200-4,8
03114100-4,8
30231300-0,8
42612000-9,8
70130000,8
48219300,8
15220000-6,8
79635000-4,8
45332200,8
39832000,8
45213220-1,8
34144710,8
39221110,8
34520000-8,8
45214230-1,8
37310000,8
24455000-8,8
39560000,8
60113300-6,8
32412000-4,8
37441800-9,8
90919000-2,8
39224330,8
79932000-6,8
71313000-1,8
50240000,8
45214300,8
51700000,8
39512000-4,8
45421145-2,8
50230000,8
45251120-8,8
45243300-5,8
44113810-6,8
51410000-9,8
45243110,8
33124110-9,8
34922000,8
50510000,8
44611400-0,8
80561000,8
98341130-5,8
44192000-2,8
85311000,8
34111200-0,8
72230000,8
44160000,8
79416000,8
35111000,8
14212210-5,8
35125100-7,8
71510000-6,8
03222117-6,8
32552600,8
31610000-5,8
44621220-7,8
42630000-1,8
72420000,8
30199500,8
14212410,8
45112410-2,8
45232220-0,8
85323000-9,8
92111000-2,8
65120000,8
18222000-1,8
48311000-1,8
45236100-1,8
45221111,8
45233300,8
66516500,8
32351200-0,8
22462000,8
65130000,8
34310000-3,8
98392000-7,8
66518200-6,8
45241100,8
63712100-4,8
79212200-5,8
63712710-3,8
71352000,8
45212421-3,8
34922100,8
34142000,8
74313100-7,8
39155100,8
34928200,8
50531200-8,8
48441000-1,8
63521000,8
45234000-6,8
34631000,8
38432000-2,8
15551000-5,8
75241000,8
34200000-9,8
71355100-2,8
90491000,8
33661000-1,8
75123000,8
90714500,8
45233161,8
39515000,8
64215000,8
90715200,8
45316212,8
44211000,8
79990000-0,8
45315600,8
50330000,8
14700000-8,8
31100000-7,8
24911200-5,8
44163160-9,8
48732000-8,8
78240000-1,8
15111000,8
31711000-3,8
15131000-5,8
55500000,8
38343000,8
22458000,8
44212321-5,8
34131000-4,8
71251000-2,8
77211300,7
38520000-6,7
66518100,7
90513600,7
36153110-2,7
98900000-2,7
39370000,7
63511000,7
80590000,7
44212382-0,7
31520000,7
33185000-0,7
98341100-6,7
33691000-0,7
30199710-0,7
33190000-8,7
48780000-9,7
79132100-9,7
29370000-3,7
64221000,7
45232142-9,7
48800000,7
15811200-8,7
34220000-5,7
50531300,7
74231800-5,7
71356000,7
72252000,7
71353200-9,7
32360000,7
32582000-6,7
34921100-0,7
72318000-7,7
71244000-0,7
72421000,7
79211110,7
35111200,7
45223720-9,7
92500000,7
34928320-7,7
98300000,7
72212421,7
45111213-4,7
79993000-1,7
45442000,7
09111220-8,7
34953000-2,7
64211200-0,7
15821200-1,7
09330000-1,7
71322000,7
39717000-1,7
39110000,7
45111200,7
28813320-3,7
48613000-8,7
15895000-8,7
15894700,7
71355000,7
45232421,7
32560000-6,7
74232310-0,7
72514000,7
74312000-9,7
34114121-3,7
55200000-2,7
79512000-6,7
39713200-5,7
39161000,7
50112200-5,7
45111300-1,7
72319000,7
45341000,7
45213351-8,7
79934000-0,7
42991000,7
90712100-2,7
31400000,7
34136200,7
03325000-3,7
45252130,7
03111000,7
38431100-6,7
37524000,7
03222300-6,7
92510000-9,7
80560000-7,7
66130000-0,7
32330000-5,7
03222000-3,7
45513000-6,7
42420000-6,7
45333000-0,7
16311000-8,7
71200000-1,7
43328100,7
74142110-0,7
15332100-5,7
73210000-7,7
39225700-2,7
90524000-6,7
32562200-2,7
34134000-5,7
63111000,7
73220000,7
44000000,7
18412000,7
34143000,7
45215120-4,7
31518000-0,7
22462000-6,7
28812200-9,7
37450000-7,7
65500000,7
15980000,7
79540000,7
09222000-1,7
44613400-4,7
44164310-3,7
09134220,7
71356400-2,7
03417100-7,7
15131130-5,7
48611000-4,7
66514150-2,7
45262350-9,7
42933300-8,7
66131000-7,7
22120000-7,7
33182240-3,7
18424000-7,7
15900000,7
50118110,7
32342400-6,7
45261222-6,7
44175000,7
44170000-2,7
39230000-3,7
79960000,7
92312230-2,7
70122200-4,7
09000000,7
50420000-5,7
45314300,7
45421148,7
71631440-6,7
98380000,7
37311100,7
33700000,7
51500000,7
34312500-2,7
15310000-4,7
03142500,7
35815100-1,7
32425000-8,7
48445000-9,7
42968200-1,7
71311230,7
80415000-6,7
72212600-5,7
34139100,7
98395000,7
45251200,7
45262340-6,7
66500000-5,7
34144910-0,7
35121700,7
24440000,7
34133000-8,7
32427000-2,7
15200000,7
41120000-6,7
45421110-8,7
35111500-0,7
50600000-1,7
03113100-7,7
22867000-5,7
45247120-7,7
45333000,7
63120000,7
42123000-7,7
90523000,7
72212200-1,7
44113310,7
45212213-2,7
34144210-3,7
45112450,7
42652000-1,7
44423450-0,7
30197644,7
79311410-4,7
34996000,7
74264000-7,7
45432200-6,7
30213200-7,7
45212140,7
72242000-3,7
34223300-9,7
42642100,7
71354200-6,7
51540000-9,7
48931000,7
45242000-5,7
15115100-8,7
22458000-5,7
45233160,7
42131160-5,7
45315100-9,7
79520000,7
15333000-1,6
45221200-4,6
34980000,6
72316000-3,6
45316200,6
60200000-0,6
72212211-1,6
64110000,6
03111900-1,6
45251250,6
33692400-1,6
03111100-3,6
45255400-3,6
30121200-5,6
90530000,6
34431000-7,6
35310000,6
38434000-6,6
15894100-2,6
15884000-8,6
42520000-7,6
79932000,6
48422000-2,6
79112000,6
30213100,6
63733000-6,6
19000000-6,6
42961000-0,6
66515100-4,6
50512000-7,6
71245000-7,6
33696200-7,6
50532300-6,6
79320000,6
42996900-3,6
77700000-7,6
44221400,6
45221100,6
34640000-5,6
48331000-7,6
72315100-7,6
30231100-8,6
42997300,6
50310000,6
45221230,6
77231200-0,6
45262200,6
79511000-9,6
90715200-4,6
32522000-8,6
90731100,6
45213400,6
03144000-2,6
31531000-7,6
43000000-3,6
77111000-1,6
79416100-4,6
15512000-0,6
30241000-0,6
63724310,6
45250000-4,6
15331000-7,6
45432210,6
33196100-1,6
45215500,6
30232110-8,6
24315000-5,6
44163000,6
71334000,6
38431000-5,6
45213315,6
15200000-0,6
79140000,6
72232000,6
20240000-1,6
45252120,6
45234121,6
92111100,6
55512000,6
33182210-4,6
45211360,6
74231540-4,6
38432200,6
72411000,6
32545000-5,6
15810000,6
33141760,6
71331000-7,6
50514200-3,6
79720000-7,6
72611000,6
34120000-4,6
34928470-3,6
42122300-3,6
45231600,6
50200000-7,6
15555000-3,6
34351000-2,6
71221000-1,6
85140000-2,6
03413000,6
34921000,6
44112500-3,6
03400000-4,6
45421145,6
45112440,6
42650000-7,6
79211100,6
45215110-1,6
45432120-1,6
90720000,6
32320000-2,6
90531000-8,6
45421142,6
30197600-2,6
31521000-4,6
15870000-7,6
44112240-2,6
66514100-7,6
79421200,6
09122100,6
48160000,6
44910000-2,6
45223600,6
45452100-1,6
15130000-8,6
63731000-2,6
48730000,6
92330000-3,6
39142000,6
42511110,6
45221241-3,6
42124150-0,6
45112400,6
71322300-4,6
44212310,6
79417000,6
07124000-2,6
03211300-6,6
71321100-5,6
38430000-8,6
03221000,6
37420000,6
74114000-1,6
34928300,6
50760000,6
71351900-2,6
92330000,6
45214310-6,6
42123400-1,6
90641000-2,6
44190000,6
30211300,6
37535290-6,6
33650000-1,6
33122000,6
71321100,6
50114000,6
80533100,6
34928472-7,6
50341000,6
60424120,6
39711100-0,6
33141700-7,6
39330000,6
31523200-0,6
30195600-8,6
48612000-1,6
45246500-8,6
42510000-4,6
77231000,6
39222200-6,6
98133000-4,6
85200000,6
42716000-8,6
42521000,6
44610000,6
15540000,6
71313100-6,6
34900000,6
39221100-8,6
22114000-2,6
38292000,6
42670000-3,6
45211310,6
66332000-6,6
35113300-2,6
34113000,6
55221000,6
70100000,6
33196200,6
60400000,6
45232000-2,6
09134230-8,6
71631480-8,6
72512000,6
24955000,6
03322300-5,6
24951000,6
24311520-8,6
44221100-6,6
90712400,6
48600000,6
42961300,6
72315200-8,6
92122000,6
24513000-3,6
98500000-8,6
34421000,6
39154000,6
39550000-2,6
42415310-4,6
45261220,6
24951100-6,6
44221240-9,6
67123000-5,6
34121100-2,6
79822000-2,6
45112400-9,6
42913000-9,6
39711110-3,6
38300000,6
48444100-3,6
72510000-3,6
92620000,6
15112130-6,6
39141500-7,6
90513300-9,6
45213140,6
90711200-6,6
63710000,6
72319000-4,6
16310000-1,6
22800000,6
24310000-0,6
39173000-5,6
39224340-3,6
48332000-4,6
44912400-0,6
37442000-8,6
71351923-2,6
45236200-2,6
44613210-5,6
44163230-1,6
98363000-5,6
90500000-1,6
79342410-4,6
24111900,6
79723000,6
64111000-7,6
33195100-4,6
92111250-9,6
28824000-4,6
18810000-0,6
90714000,6
48311000,6
44212317-4,6
30131400,6
38720000,6
92610000,6
50116100,6
32562300-3,6
45316213,6
15332400-8,6
28815200-0,6
45248400-1,6
45255400,6
16100000,6
39143000-6,6
45212220,6
74271800-7,6
44113140-8,6
45236110-4,6
34121500,6
34224200,5
34980000-0,5
39113000-7,5
38653400-1,5
48700000-5,5
64211100,5
65310000,5
09131000-6,5
75124000-1,5
42122000,5
44112600-4,5
38653300,5
38420000-5,5
72317000-0,5
45232451,5
24400000,5
63512000-1,5
33169000-2,5
32540000,5
45234120,5
85311000-2,5
45233250,5
60112300-9,5
39713300,5
63711000-6,5
32351200,5
44221200,5
03222313-0,5
15111100,5
30197643,5
72222000-7,5
30100000,5
44113300,5
14612300-7,5
30237300,5
70330000,5
34922110-0,5
45234250-3,5
75100000-7,5
34136100,5
14211000-3,5
72300000,5
45221115,5
78225000-0,5
03417000-6,5
65500000-8,5
30125110-5,5
45233253,5
43320000-2,5
22212000,5
42996900,5
39143200-8,5
63700000,5
14213000-7,5
45222110,5
79311300-0,5
45233225,5
24000000,5
15119100-6,5
34144800-6,5
45315400-2,5
90110000-1,5
79957000,5
71313410-2,5
72212110-3,5
34931000-2,5
98910000-5,5
79210000,5
22315000-1,5
15211100,5
39155100-4,5
45213314-7,5
37411200,5
50532300,5
09134210-2,5
39350000,5
14212400-4,5
45221240-6,5
30162000-2,5
15894000,5
30213300,5
24312122,5
30199230,5
42413500-9,5
71247000,5
74611000-5,5
45254200-4,5
65410000-0,5
32424000,5
42416120-2,5
72212510-7,5
51514110-2,5
19522000-1,5
44163121-4,5
98341130,5
90513200,5
64228200,5
45253800-3,5
45242100-6,5
64121000-0,5
31172000-2,5
72315100,5
98513310-8,5
60600000-4,5
80533000-9,5
51611100,5
38410000,5
79951000,5
45216129,5
31213200-4,5
50113000-0,5
72212200,5
38421000-2,5
16311000,5
45231500-0,5
45233125-1,5
50118000-5,5
34922000-6,5
44613400,5
80400000-8,5
33151200,5
18140000-2,5
45262220,5
39291000-8,5
72417000-6,5
34928440,5
15411100-3,5
38112100-4,5
66512100,5
14711000-8,5
43250000,5
45211370-3,5
30192113,5
35112100-3,5
25221100-7,5
24931250-6,5
31620000-8,5
77230000,5
15860000-4,5
45213314,5
45213250-0,5
45351000,5
32561000-3,5
31155000,5
48760000-3,5
79961200-0,5
77112000,5
03222117,5
80000000,5
60171000-7,5
38431000,5
90715000-2,5
44480000,5
73120000-9,5
42416210-0,5
15332270-7,5
18400000-3,5
44212100-0,5
77231500-3,5
42415320,5
34993000-0,5
38900000-4,5
66122000-1,5
03451200,5
39111200,5
45262211-3,5
45234100-7,5
50112300,5
70000000-8,5
50532100-4,5
34931100-3,5
72512000-7,5
32320000,5
34920000,5
31682540-7,5
92521200,5
37412242-7,5
45241000-8,5
42716000,5
44411000,5
90670000-4,5
18443500-1,5
72212450-8,5
98110000-7,5
34135000-2,5
80522000-9,5
48500000-3,5
45247210-5,5
22500000,5
39131000-9,5
15131500-0,5
50432000-2,5
44212317,5
33158210-7,5
33157000-5,5
15542000-9,5
45234129,5
71631460-2,5
44113200-7,5
45233127-5,5
33192000,5
42912310-8,5
48326000-9,5
45222300,5
15894000-1,5
45323000,5
45234210,5
71351610-2,5
45432113,5
45221242-0,5
03222110-7,5
39515410-2,5
44160000-9,5
39113600-3,5
90712100,5
45251000-1,5
44480000-8,5
34928330-0,5
39522100-8,5
43312100,5
44423460-3,5
45214710-0,5
39515100-6,5
72211000,5
71311240,5
45234129-6,5
85311100,5
85111000-0,5
44832100-2,5
72311100,5
70121000,5
39831300-9,5
22312000-0,5
33192100-3,5
90722300-7,5
85312300,5
45243600-8,5
32323300,5
44613600-6,5
34352300-2,5
44162000,5
33772000-2,5
39299000-4,5
18220000-7,5
33162100,5
79211000,5
55322000,5
42120000,5
39540000-9,5
50312600,5
30214000-2,5
71354100,5
18331000-8,5
32500000,5
39312000-2,5
60443000-5,5
71311240-5,5
90721600-3,5
34144520-9,5
45112310-1,5
38652100-1,5
44300000-3,5
65200000,5
45212322-9,5
22800000-8,5
30192111-2,5
79961200,5
19500000-1,5
43200000-5,5
37453600-4,5
45213240-7,5
45221115-1,5
74222200-3,5
90212000-6,5
79131000-1,5
15981100-9,5
90731000,5
29715000-4,5
45243500-7,5
14310000-7,5
39298700-4,5
30191000-4,5
55511000-5,5
33954000-2,5
72315200,5
45221230-3,5
44191000,5
48421000-5,5
00048031-0,5
92112000,5
39812100,5
15812200-5,5
71251000,5
44611000-6,5
39180000-7,5
90732000,4
42968100,4
45112310,4
44210000-5,4
30144400-4,4
51511300-0,4
24313400-5,4
63712320-2,4
16800000-3,4
79500000-9,4
33681000-7,4
39340000-7,4
72212700-6,4
44512930-0,4
44610000-9,4
35113200,4
03142000-8,4
39700000,4
32260000,4
34114100,4
72222100,4
64216110-7,4
45247230-1,4
32354500,4
03321000-5,4
34221000-2,4
90919000,4
33761000-2,4
74233200-3,4
30197642-8,4
31527210-1,4
44112410,4
42122220-8,4
50118400-9,4
39298910,4
22460000-2,4
48161000-4,4
79951000-5,4
45212421,4
39710000,4
50314000,4
35262000-8,4
42400000,4
39715240-1,4
44812000-5,4
32412100,4
03417100,4
50316000-3,4
15981310-4,4
60171000,4
32351000-8,4
55210000-5,4
55511000,4
44921000,4
14212120-7,4
09133000,4
79420000,4
90911100-7,4
90732300-0,4
38424000,4
33183300-9,4
45252300-1,4
45213313,4
50413100,4
85140000,4
31530000,4
44330000-2,4
75112000,4
63712000-1,4
42921300-1,4
40220000-0,4
77700000,4
31300000-9,4
42514310-8,4
77314100-5,4
45262420,4
00000000-1,4
79971200,4
75131000-3,4
18443000-6,4
51112000,4
79634000-7,4
30122200-2,4
28100000-3,4
27726220-8,4
15811510-4,4
44921200,4
44221300,4
44111520,4
71315000,4
98396000,4
45317100,4
45212213,4
72212220-7,4
15312100-9,4
71354300,4
72212422-3,4
73210000,4
34951000-8,4
22454000,4
48813000-0,4
45262900,4
79211000-6,4
31625200,4
72312000-5,4
15811511-1,4
48326100-0,4
15894300,4
72910000,4
37300000,4
48931000-3,4
92210000-6,4
34152000,4
45212600-2,4
45112600,4
80410000,4
38652000,4
45223700-3,4
45212500,4
43830000-0,4
37524700-4,4
44113000-0,4
42900000,4
30121300,4
45112722-2,4
50531400,4
31712331,4
34620000,4
37535291,4
15131200-7,4
15612500,4
50225000-8,4
45221250-9,4
39121200-8,4
